"ID","date","DnInv","VC","Item","code","In","Out","Balance"
133,7/10/2019 0:00:00,9,"Al Rawda ( Farok Saleh)","باول ساندي كبيره شفافه ","1003",5000,0,5000
134,7/10/2019 0:00:00,213,"Rixos Sharm","باول ساندي صغيره شفافه ","1002",0,2000,8000
135,7/10/2019 0:00:00,213,"Rixos Sharm","باول ساندي كبيره شفافه ","1003",0,3000,2000
136,7/13/2019 0:00:00,214,"Belevader","كوب لوليتــــا توين 75 سم3","77251",0,5000,132000
137,7/13/2019 0:00:00,214,"Belevader","ملعقة جيلاتى ألوان  96 مم","78153",0,6000,240000
138,7/13/2019 0:00:00,215,"Aqua Park (Al batrous)","كوب لوليتــــا توين 75 سم3","77251",0,30000,102000
139,7/13/2019 0:00:00,216,"Fanara","كوب شفاف 210 جولف","1001",0,2000,18000
140,7/13/2019 0:00:00,217,"Mirabel","كوب لوليتــــا توين 75 سم3","77251",0,20000,82000
141,7/13/2019 0:00:00,218,"Mirabel","باول ساندي صغيره شفافه ","1002",0,3000,5000
142,7/13/2019 0:00:00,219,"Al Cazar","كوب عصير 180 سم","66175",0,240,400
143,7/13/2019 0:00:00,220,"Al Cazar","كوب عصير 180 سم","66175",0,-220,140
144,7/17/2019 0:00:00,10,"Medstar","كوب إليجانت شفاف 300سم3","67174",1200,0,3000
145,7/17/2019 0:00:00,10,"Medstar","باول فاكيوم أبيض 90 × 90 × 30 مم","54253",2000,0,2000
146,7/17/2019 0:00:00,10,"Medstar","ملعقة ستيك 110 مم","70152",250000,0,740000
147,7/17/2019 0:00:00,10,"Medstar","سناك بوكس مدستار شفاف","60331",5000,0,5000
148,7/17/2019 0:00:00,10,"Medstar","كوب ريفييرا صغير","66169",3900,0,4200
149,7/17/2019 0:00:00,10,"Medstar","شوكه ستار","62154",26000,0,40000
150,7/13/2019 0:00:00,10,"Medstar","كوب عصير 180 سم","66175",600,-220,740
151,7/17/2019 0:00:00,10,"Medstar","كوب شفاف ايس 200 سم3","59153",25000,0,25000
152,7/17/2019 0:00:00,10,"Medstar","ملعقة ستار صغيرة ابيض","62141",24000,0,60000
153,7/17/2019 0:00:00,10,"Medstar","كوب لوليتــــا توين 75 سم3","77251",26000,0,108000
154,7/17/2019 0:00:00,10,"Medstar","كوب عصير 300 سم","66176",3600,0,4320
155,7/17/2019 0:00:00,221,"Rehana Royal","كوب ريفييرا صغير","66169",0,1000,1200
156,7/17/2019 0:00:00,222,"Mirabel","ملعقة ستيك 110 مم","70152",0,10000,730000
157,7/17/2019 0:00:00,223,"Aeroangel","سناك بوكس مدستار شفاف","60331",0,5000,0
158,7/17/2019 0:00:00,224,"Coral Sea imperial","باول ساندي صغيره شفافه ","1002",0,1000,4000
159,7/18/2019 0:00:00,225,"Rixos Seagate","كوب شفاف ايس 200 سم3","59153",0,25000,0
160,7/21/2019 0:00:00,226,"Mirabel","ملعقة ستيك 110 مم","70152",0,25000,705000
161,7/21/2019 0:00:00,227,"Coral Sea Orintal","ملعقة جيلاتى ألوان  96 مم","78153",0,0,210000
162,7/21/2019 0:00:00,227,"Coral Sea Orintal","كوب لوليتــــا توين 75 سم3","77251",0,0,88000
163,7/21/2019 0:00:00,227,"Coral Sea Orintal","كوب لوليتــــا توين 75 سم3","77251",0,0,68000
164,7/21/2019 0:00:00,227,"Coral Sea Orintal","ملعقة جيلاتى ألوان  96 مم","78153",0,0,180000
165,7/23/2019 0:00:00,228,"Sharm Dreams","كوب إليجانت شفاف 300سم3","67174",0,600,2400
166,7/23/2019 0:00:00,229,"Fayrouz","ملعقة جيلاتى ألوان  96 مم","78153",0,9000,201000
167,7/23/2019 0:00:00,229,"Fayrouz","كوب جراند مدستار","77153",0,3000,0
168,7/23/2019 0:00:00,230,"Charmillion Club","ملعقة ستيك 110 مم","70152",0,30000,675000
169,7/24/2019 0:00:00,231,"Orintal","كوب لوليتــــا توين 75 سم3","77251",0,10000,78000
170,7/24/2019 0:00:00,231,"Orintal","ملعقة جيلاتى ألوان  96 مم","78153",0,15000,186000
171,7/24/2019 0:00:00,231,"Orintal","ملعقة ستيك 110 مم","70152",0,15000,660000
172,7/25/2019 0:00:00,232,"Rehana Sharm","ملعقة ستيك 110 مم","70152",0,25000,635000
173,7/26/2019 0:00:00,233,"Fayrouz","كوب شفاف نوفا 200 سم3","59152",0,2000,8000
174,7/26/2019 0:00:00,234,"Belevader","كوب لوليتــــا توين 75 سم3","77251",0,15000,63000
175,7/26/2019 0:00:00,234,"Belevader","ملعقة جيلاتى ألوان  96 مم","78153",0,15000,171000
176,7/26/2019 0:00:00,235,"Chamilion Aqua Park","كوب لوليتــــا توين 75 سم3","77251",0,2000,61000
177,7/26/2019 0:00:00,235,"Chamilion Aqua Park","ملعقة ستيك 110 مم","70152",0,30000,605000
178,7/26/2019 0:00:00,235,"Chamilion Aqua Park","ملعقة ستار صغيرة ابيض","62141",0,4000,56000
179,7/28/2019 0:00:00,238,"Orintal","جامبو بوكس 60لتر","27765",0,5,0
180,7/28/2019 0:00:00,239,"Alflelawelala","كوب لوليتــــا توين 75 سم3","77251",0,25000,36000
181,7/28/2019 0:00:00,240,"Aqua Park (Al batrous)","كوب لوليتــــا توين 75 سم3","77251",0,25000,11000
182,7/29/2019 0:00:00,241,"Mirabel","ملعقة ستيك 110 مم","70152",0,50000,555000
183,7/30/2019 0:00:00,242,"Reef Oasis","كوب عصير 300 سم","66176",0,816,3504
184,8/1/2019 0:00:00,243,"Tamra Beach","كوب ريفييرا صغير","66169",0,1000,200
185,8/2/2019 0:00:00,244,"Coral Sea Orintal","ملعقة جيلاتى ألوان  96 مم","78153",0,30000,141000
186,8/2/2019 0:00:00,245,"Grand Plaza","كوب لوليتــــا توين 75 سم3","77251",0,10000,1000
187,8/2/2019 0:00:00,245,"Grand Plaza","ملعقة جيلاتى ألوان  96 مم","78153",0,15000,126000
188,8/2/2019 0:00:00,245,"Grand Plaza","كوب إليجانت شفاف 300سم3","67174",0,1800,600
